"Statistic","Chrom","Gene name","Population","stat"
"Fay.Wu.H","chr1","SYNC","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","TMCC2","TON","Fay and Wu's H"
"Fay.Wu.H","chr1","TMEM53","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr1","TOR1AIP1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","TOR1AIP2","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","TRMT13","CIM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","TRNP1","NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","WDR26","CIM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","ZBTB8A","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","ZBTB8OS","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","ZNF124","NZM","Fay and Wu's H"
"Fay.Wu.H","chr2","ACKR3","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","ALMS1","CIM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr2","ANKRD44","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","APLF","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr2","ARHGEF33","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","ASB18","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","BCL11A","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","BRE","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr2","CAB39","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","CCDC141","CIM","Fay and Wu's H"
"Fay.Wu.H","chr2","CERS6","NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","CFAP221","CIM","Fay and Wu's H"
"Fay.Wu.H","chr2","CLASP1","NZM","Fay and Wu's H"
"Fay.Wu.H","chr2","CNTNAP5","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","COA5","CIM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","COLEC11","CIM, NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","CRIPT","TON","Fay and Wu's H"
"Fay.Wu.H","chr2","CTNNA2","NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","CXCR4","TON","Fay and Wu's H"
"Fay.Wu.H","chr2","CYTIP","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr2","DIRC3","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","DNAH6","NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","EHBP1","NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","ERBB4","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","EXOC6B","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","FAM228A","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr2","FAM228B","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr2","FBXO48","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr2","GAREM2","TON","Fay and Wu's H"
"Fay.Wu.H","chr2","GEN1","TON","Fay and Wu's H"
"Fay.Wu.H","chr2","HADHA","TON","Fay and Wu's H"
"Fay.Wu.H","chr2","ID2","NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","INPP4A","CIM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","IQCA1","CIM, NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","IRS1","NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","ITSN2","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr2","KCNE4","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","KIF3C","CIM","Fay and Wu's H"
"Fay.Wu.H","chr2","KIF5C","CIM, NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","LBH","SAM","Fay and Wu's H"
"Fay.Wu.H","chr2","LINC00309","TON","Fay and Wu's H"
"Fay.Wu.H","chr2","LOC100130451","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","LTBP1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","MGAT4A","TON","Fay and Wu's H"
"Fay.Wu.H","chr2","MIR4774","NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","MMADHC","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","MSGN1","TON","Fay and Wu's H"
"Fay.Wu.H","chr2","MYO1B","CIM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr2","MYT1L","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","NIF3L1","CIM","Fay and Wu's H"
"Fay.Wu.H","chr2","ORC2","CIM","Fay and Wu's H"
"Fay.Wu.H","chr2","PABPC1P2","NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","PARD3B","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","PDE11A","CIM","Fay and Wu's H"
"Fay.Wu.H","chr2","PDE1A","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","PDE6D","CIM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","PELI1","TON","Fay and Wu's H"
"Fay.Wu.H","chr2","PIGF","TON","Fay and Wu's H"
"Fay.Wu.H","chr2","PPIL3","CIM","Fay and Wu's H"
"Fay.Wu.H","chr2","PTH2R","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","PUS10","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","R3HDM1","NZM","Fay and Wu's H"
"Fay.Wu.H","chr2","RMND5A","NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","RNF103-CHMP3","NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","RNU4ATAC","NZM","Fay and Wu's H"
"Fay.Wu.H","chr2","SESTD1","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr2","SMC6","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","SOS1","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","SPAG16","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","SPR","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","SUCLG1","NZM","Fay and Wu's H"
"Fay.Wu.H","chr2","TEX41","SAM","Fay and Wu's H"
"Fay.Wu.H","chr2","THADA","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","VSNL1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","VWA3B","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr2","WTH3DI","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr2","ZNF385B","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr2","ZRANB3","NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","ABHD5","NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","APPL1","SAM","Fay and Wu's H"
"Fay.Wu.H","chr3","ARF4","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","ASB14","SAM","Fay and Wu's H"
"Fay.Wu.H","chr3","ATG3","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","ATG7","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","C3orf35","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","C3orf62","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","CCDC36","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","CCR3","NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","CFAP44","CIM","Fay and Wu's H"
"Fay.Wu.H","chr3","CFAP44-AS1","CIM","Fay and Wu's H"
"Fay.Wu.H","chr3","CGGBP1","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","CIDEC","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","CLDN11","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","CLSTN2","CIM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","COPG1","SAM","Fay and Wu's H"
"Fay.Wu.H","chr3","CPNE4","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","CTDSPL","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","EMC3","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","EPHA3","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","EPHB1","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","FGF12","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr3","FHIT","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","FOXP1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","FRMD4B","TON","Fay and Wu's H"
"Fay.Wu.H","chr3","FYCO1","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","GOLGA4","CIM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","IL1RAP","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","IQCF1","CIM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr3","KCNAB1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","KPNA4","CIM","Fay and Wu's H"
"Fay.Wu.H","chr3","LEKR1","SAM","Fay and Wu's H"
"Fay.Wu.H","chr3","LINC00698","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","LINC00886","CIM","Fay and Wu's H"
"Fay.Wu.H","chr3","LRRFIP2","CIM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr3","MIR26A1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","MIR4271","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","MUC4","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","MYL3","CIM","Fay and Wu's H"
"Fay.Wu.H","chr3","MYLK","SAM","Fay and Wu's H"
"Fay.Wu.H","chr3","NEK10","CIM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","OXSR1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","PDE12","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","PIK3CB","SAM","Fay and Wu's H"
"Fay.Wu.H","chr3","PLCL2","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","PRSS42","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","PRSS45","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","PRSS50","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","RASA2","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr3","RSRC1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","SETD5","NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","SHQ1","SAM","Fay and Wu's H"
"Fay.Wu.H","chr3","SPICE1","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr3","SPSB4","CIM, NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","TBC1D5","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","TIPARP","CIM","Fay and Wu's H"
"Fay.Wu.H","chr3","TIPARP-AS1","CIM","Fay and Wu's H"
"Fay.Wu.H","chr3","USP4","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","VILL","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","XCR1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","ZBTB20","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","ZBTB38","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr3","ZPLD1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","ADGRA3","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr4","ADH4","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","ADH5","CIM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","ARHGAP10","NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","ARHGAP24","CIM","Fay and Wu's H"
"Fay.Wu.H","chr4","ARHGEF38","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","BEND4","SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","BOD1L1","NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","CLCN3","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","COQ2","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","FAM184B","CIM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","FAM198B","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","FREM3","TON","Fay and Wu's H"
"Fay.Wu.H","chr4","FTLP10","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","GRID2","CIM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","GRK4","CIM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","GSTCD","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","GSX2","CIM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","HADH","NZM","Fay and Wu's H"
"Fay.Wu.H","chr4","HPF1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","HPSE","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","HTT","CIM","Fay and Wu's H"
"Fay.Wu.H","chr4","INTS12","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","KLHL2","CIM, NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","LAP3","TON","Fay and Wu's H"
"Fay.Wu.H","chr4","LEF1","NZM","Fay and Wu's H"
"Fay.Wu.H","chr4","LETM1","SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","LINC01088","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","LINC01091","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","LOC100506085","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","LOC100507053","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","LRBA","NZM","Fay and Wu's H"
"Fay.Wu.H","chr4","LSM6","NZM","Fay and Wu's H"
"Fay.Wu.H","chr4","MED28","CIM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","MFAP3L","CIM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","MIR5091","NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","NEK1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","NOP14","SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","NPNT","NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","NR3C2","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","PARM1","CIM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","PCNAP1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","PDE5A","CIM, NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","PDGFC","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr4","PDGFRA","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","PDHA2","CIM","Fay and Wu's H"
"Fay.Wu.H","chr4","POU4F2","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","RAP1GDS1","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr4","RAPGEF2","CIM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","SGMS2","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","SH3RF1","TON","Fay and Wu's H"
"Fay.Wu.H","chr4","SLC4A4","NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr4","SPATA5","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr4","TACR3","CIM","Fay and Wu's H"
"Fay.Wu.H","chr4","TBC1D14","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr4","TMEM144","TON","Fay and Wu's H"
"Fay.Wu.H","chr4","TMPRSS11BNL","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr4","VEGFC","NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr5","ARL15","SAM","Fay and Wu's H"
"Fay.Wu.H","chr5","BRD9","TON","Fay and Wu's H"
"Fay.Wu.H","chr5","CANX","TON","Fay and Wu's H"
"Fay.Wu.H","chr5","CTNNA1","TON","Fay and Wu's H"
"Fay.Wu.H","chr5","DCTN4","CIM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","EPB41L4A","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr5","EPB41L4A-AS2","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr5","FER","CIM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","FTMT","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","H2AFY","NZM","Fay and Wu's H"
"Fay.Wu.H","chr5","IQGAP2","SAM","Fay and Wu's H"
"Fay.Wu.H","chr5","LARP1","TON","Fay and Wu's H"
"Fay.Wu.H","chr5","LINC01021","CIM","Fay and Wu's H"
"Fay.Wu.H","chr5","MAML1","TON","Fay and Wu's H"
"Fay.Wu.H","chr5","MAST4","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","NDST1","TON","Fay and Wu's H"
"Fay.Wu.H","chr5","PAM","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr5","PART1","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr5","PCDHB18P","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","PCDHB19P","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","PDE4D","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","PDZD2","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","PRR16","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","SGCD","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr5","SMIM3","TON","Fay and Wu's H"
"Fay.Wu.H","chr5","SPINK14","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","SPINK6","NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","SV2C","SAM","Fay and Wu's H"
"Fay.Wu.H","chr5","TBC1D9B","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","TIMD4","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr5","TRIP13","TON","Fay and Wu's H"
"Fay.Wu.H","chr6","ADGRB3","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","ARID1B","CIM","Fay and Wu's H"
"Fay.Wu.H","chr6","ATXN1","NZM","Fay and Wu's H"
"Fay.Wu.H","chr6","BAG2","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","BEND6","CIM, NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","CCDC167","TON","Fay and Wu's H"
"Fay.Wu.H","chr6","DST","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","EYS","NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr6","FYN","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr6","IP6K3","SAM","Fay and Wu's H"
"Fay.Wu.H","chr6","LEMD2","SAM","Fay and Wu's H"
"Fay.Wu.H","chr6","LINC01622","CIM, NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","LOC100131289","NZM","Fay and Wu's H"
"Fay.Wu.H","chr6","LOC643623","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","MLIP","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","OPN5","CIM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","PHACTR1","SAM","Fay and Wu's H"
"Fay.Wu.H","chr6","PREP","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","PTPRK","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","QKI","CIM","Fay and Wu's H"
"Fay.Wu.H","chr6","RAB23","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","SUPT3H","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","TBC1D32","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","THEMIS","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr6","TRMT11","TON","Fay and Wu's H"
