"chrom","chrom_start","chrom_end","SYMBOL","AFR_ACB","AFR_ASW","AFR_ESN","AFR_GWD","AFR_LWK","AFR_MSL","AFR_YRI","AMR_CLM","AMR_MXL","AMR_PEL","AMR_PUR","EAS_CDX","EAS_CHB","EAS_CHS","EAS_JPT","EAS_KHV","EUR_CEU","EUR_FIN","EUR_GBR","EUR_IBS","EUR_NZC","EUR_TSI","POL_CIM","POL_NZM","POL_SAM","POL_TON","SAS_BEB","SAS_GIH","SAS_ITU","SAS_PJL","SAS_STU","POLsum","EURsum","EASsum","SASsum","AMRsum","AFRsum","ALLsum"
"chr1",52685002,52695001,"ZFYVE9",0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,5,1,2,2,4,15
"chr1",52695002,52705001,"ZFYVE9",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,5,0,1,2,0,9
"chr1",52705002,52715001,"ZFYVE9",0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,6,1,2,2,3,15
"chr1",52715002,52725001,"ZFYVE9",0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,6,1,2,2,3,15
"chr1",52725002,52735001,"ZFYVE9",0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,6,1,2,2,3,15
"chr1",52735002,52745001,"ZFYVE9",0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,6,1,2,2,3,15
"chr1",60325002,60335001,"HOOK1",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,3,5,2,5,4,0,19
"chr1",60335002,60345001,"HOOK1",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,4,3,2,5,4,0,18
"chr1",73345002,73355001,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,2,5,0,5,2,0,14
"chr1",116905002,116915001,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,3,5,3,5,1,0,17
"chr1",116915002,116925001,"ATP1A1",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,3,5,3,5,1,0,17
"chr1",116925002,116935001,"ATP1A1",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,3,5,3,5,1,0,17
"chr1",116945002,116955001,"ATP1A1-AS1",0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,6,4,5,2,0,20
"chr1",116945002,116955001,"ATP1A1",0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,6,4,5,2,0,20
"chr1",194185002,194195001,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,2,6,1,5,2,0,16
"chr1",194195002,194205001,NA,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,2,6,2,5,3,2,20
"chr1",206255002,206265001,"RHEX",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,4,1,2,0,1,0,8
"chr1",206265002,206275001,"RHEX",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,4,3,3,1,1,0,12
"chr1",206285002,206295001,"RHEX",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,2,2,4,3,1,0,12
"chr1",230025002,230035001,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,5,0,4,1,0,11
"chr1",230035002,230045001,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,4,0,2,1,0,8
"chr1",238225002,238235001,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,4,0,4,2,0,11
"chr1",238235002,238245001,NA,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,2,5,1,3,2,0,13
"chr1",33115002,33125001,"ZBTB8OS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,3,0,1,0,0,5
"chr1",33115002,33125001,"RBBP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,3,0,1,0,0,5
"chr1",33125002,33135001,"RBBP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,3
"chr1",33135002,33145001,"RBBP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,3
"chr1",33145002,33155001,"SYNC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,3
"chr1",33145002,33155001,"RBBP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,3
"chr1",33155002,33165001,"SYNC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,3
"chr1",100665002,100675001,"DBT",0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,4,1,3,2,3,0,13
"chr1",113655002,113665001,"LRIG2",1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,2,3,5,1,6,18
"chr1",113665002,113675001,"LRIG2",1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,2,2,5,1,6,17
"chr1",116935002,116945001,"ATP1A1",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,2,3,3,5,2,0,15
"chr1",116935002,116945001,"ATP1A1-AS1",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,2,3,3,5,2,0,15
"chr1",116955002,116965001,"ATP1A1-AS1",0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,2,3,3,5,3,0,16
"chr1",116965002,116975001,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,3,2,3,5,1,0,14
"chr1",153395002,153405001,"S100A7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
"chr1",153425002,153435001,"S100A7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
"chr1",153435002,153445001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
"chr1",186705002,186715001,NA,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,2,2,4,3,3,0,14
"chr1",186715002,186725001,NA,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,2,2,4,3,3,0,14
"chr1",186725002,186735001,NA,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,2,2,4,3,3,0,14
"chr1",214765002,214775001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4
"chr1",247915002,247925001,"OR1C1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,4
"chr1",15965002,15975001,"DDI2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,5
"chr1",15975002,15985001,"DDI2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,5
"chr1",27225002,27235001,"GPATCH3",1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,4,0,2,6,15
"chr1",27235002,27245001,"NR0B2",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,0,4,1,2,7,17
"chr1",27245002,27255001,"NUDC",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,0,4,1,2,7,17
"chr1",27255002,27265001,"NUDC",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,0,4,1,2,7,17
"chr1",27265002,27275001,"NUDC",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,0,4,1,2,7,17
"chr1",27275002,27285001,"KDF1",1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,0,4,1,1,7,16
"chr1",27285002,27295001,"KDF1",1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,3,0,4,2,2,7,18
"chr1",27295002,27305001,NA,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,3,0,4,2,2,7,18
"chr1",27305002,27315001,NA,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,3,0,4,3,3,7,20
"chr1",27315002,27325001,"TRNP1",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,3,0,4,3,3,7,20
"chr1",51955002,51965001,"EPS15",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,3
"chr1",51965002,51975001,"EPS15",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,3,0,0,0,6
"chr1",52075002,52085001,"OSBPL9",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,4,0,0,0,7
"chr1",52325002,52335001,"NRDC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,3
"chr1",52335002,52345001,"NRDC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,3
"chr1",52345002,52355001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,3
"chr1",55655002,55665001,"USP24",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3,0,4,1,1,0,9
"chr1",69365002,69375001,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,2,0,5,4,0,0,11
"chr1",69375002,69385001,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,2,0,5,4,0,0,11
"chr1",72785002,72795001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,3
"chr1",72795002,72805001,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,4
"chr1",72865002,72875001,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,4,0,0,0,6
"chr1",72925002,72935001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,1,0,0,0,4
"chr1",76645002,76655001,"ST6GALNAC3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
"chr1",76655002,76665001,"ST6GALNAC3",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,2,0,0,0,6
"chr1",87475002,87485001,"HS2ST1",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,5,2,0,0,8
"chr1",87475002,87485001,"LINC01140",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,5,2,0,0,8
"chr1",87485002,87495001,"HS2ST1",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,5,2,0,0,8
"chr1",87485002,87495001,"LINC01140",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,5,2,0,0,8
"chr1",87495002,87505001,"LINC01140",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,5,2,0,0,8
"chr1",87495002,87505001,"HS2ST1",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,5,2,0,0,8
"chr1",87505002,87515001,"LINC01140",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,5,2,0,0,8
"chr1",87505002,87515001,"HS2ST1",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,5,2,0,0,8
"chr1",87515002,87525001,"LINC01140",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,5,2,0,0,8
"chr1",87515002,87525001,"HS2ST1",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,5,2,0,0,8
"chr1",93265002,93275001,NA,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,5,2,1,0,9
"chr1",100625002,100635001,"LRRC39",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,3
"chr1",100635002,100645001,"LRRC39",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,1,0,2,0,6
"chr1",100645002,100655001,"DBT",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,4
"chr1",100675002,100685001,"DBT",0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,3,0,2,2,3,0,10
"chr1",100685002,100695001,"DBT",0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,3,0,2,1,3,0,9
"chr1",100695002,100705001,"DBT",0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,3,0,2,1,3,0,9
"chr1",100705002,100715001,"DBT",0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,3,0,2,2,3,0,10
"chr1",100715002,100725001,"DBT",0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,3,0,2,2,3,0,10
"chr1",103695002,103705001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,4
"chr1",103705002,103715001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,4
"chr1",109425002,109435001,"GPSM2",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,3,0,1,0,6
"chr1",109425002,109435001,"AKNAD1",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,3,0,1,0,6
"chr1",113675002,113685001,NA,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,2,1,0,2,7
"chr1",113685002,113695001,NA,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,2,1,0,2,7
"chr1",113695002,113705001,NA,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,2,1,0,2,7
"chr1",176435002,176445001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,4,0,0,0,6
"chr1",176445002,176455001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,4,0,0,0,6
"chr1",176455002,176465001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,4,0,0,0,6
"chr1",176465002,176475001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,4,0,0,0,6
"chr1",176625002,176635001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,4,0,0,0,7
"chr1",176635002,176645001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,4,0,0,0,7
"chr1",176645002,176655001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,4,0,0,0,7
"chr1",176655002,176665001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,4,0,0,0,8
"chr1",176665002,176675001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,4,0,0,0,8
"chr1",176675002,176685001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,4,0,0,0,8
"chr1",176685002,176695001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,4,0,0,0,7
"chr1",176695002,176705001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,4,0,0,0,7
"chr1",176705002,176715001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,4,0,0,0,8
"chr1",176715002,176725001,"PAPPA2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,2,0,0,0,6
"chr1",181595002,181605001,"CACNA1E",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,2,0,0,0,6
"chr1",181605002,181615001,"CACNA1E",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,4
"chr1",181615002,181625001,"CACNA1E",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,4
"chr1",186695002,186705001,NA,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,4,0,2,0,8
"chr1",186735002,186745001,NA,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,4,1,3,0,10
"chr1",186745002,186755001,NA,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,4,1,3,0,10
"chr1",186755002,186765001,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,5
"chr1",186765002,186775001,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,5
"chr1",206295002,206305001,NA,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,2,1,4,2,1,0,10
"chr1",235925002,235935001,"LYST",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,4,0,0,0,6
"chr1",247185002,247195001,"ZNF670-ZNF695",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,4,0,0,0,7
"chr1",247925002,247935001,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,0,3,1,0,0,7
"chr1",247935002,247945001,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,4,0,0,0,7
"chr1",247945002,247955001,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,4,0,0,0,7
"chr1",247955002,247965001,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,5,0,0,0,9
